Address,Prisantydning,Fellesgjeld,Omkostninger,Totalpris,Felleskost,Boligtype,Eieform_bolig,Soverom,Primærrom,Bruksareal,Etasje,Byggeår,Energimerking,Faciliteter,Beskrivelse,Eiendomsmegler
"Lørenskog Hageby A2-603, 1473 Lørenskog",1 587 000 kr,-1,-1,-1,-1,64 m²,66 m²,2,6.,Leilighet,Andel,-1,-1,-1,Lørenskog Hageby - Ny 3-roms i 6. etasje med sydvendt balkong!,Fredensborg Bolig AS - Lørenskog Hageby
"Teglværket - Bygg 1 - Gravarsveien 1,3,5, 4306 Sandnes",2 795 000 kr,-1,-1,-1,-1,50 - 95 m²,1 - 2,Leilighet,Eier (Selveier),-1,-1,-1,-1,-1,SANDNES - Teglværket Bygg 1 - Flytt inn i mars 2022 - Felleslokale - Hobbyrom - Hybel - Heis - Alle med parkering i garasjeanlegg,EiendomsMegler 1 Sandnes
"Magnus Berrføtts veg 11, 7046 Trondheim",3 490 000 kr,383 038 kr,5 060 kr,3 878 098 kr,4 209 kr,Leilighet,Andel,3,90 m²,109 m²,12,1968,G - rød,,Svært innholdsrik 4-roms med etterspurt beliggenhet i Valentinlyst BRL | 12 etasje og fenomenal utsikt | 109m² BRA,"Heimdal Eiendomsmegling AS, avd. Byåsen"
"Bondilia 15, 1386 Asker",6 290 000 kr,158 592 kr,6 448 592 kr,2 985 kr,-1,Leilighet,Eier (Selveier),2,73 m²,77 m²,1,2018,D - mørkegrønn,,Nyere og meget pen endeleilighet. Usjenert og flotte uteområder. Nærhet til Asker sentrum. To garasjeplasser. Heis,Krogsveen avd. Asker
"Munkedamsveien 72B, 0270 Oslo",6 990 000 kr,186 292 kr,7 176 292 kr,2 710 kr,-1,Leilighet,Eier (Selveier),2,76 m²,76 m²,5,1950,G - rød,,3-roms toppleilighet med stor og solrik balkong med sjøutsikt - Peis - Parkeringsleie - Lave felleskostnader,PrivatMegleren Aveny
"Klipevegen 23, 6230 Sykkylven",2 450 000 kr,73 070 kr,2 523 070 kr,445 kr,9 187 kr per år,Leilighet,Eier (Selveier),2,75 m²,75 m²,1,2006,-1,,"3-roms selveierleilighet med god standard, garasjeplass og nydelig utsikt!",Aursnes & Partners Eiendomsmegling
"Torggata 133B, 2317 Hamar",7 490 000 kr,12 965 kr,7 502 965 kr,7 913 kr,-1,Leilighet,Andel,4,135 m²,135 m²,4,2008,D - mørkegrønn,-1,HAMAR - Svært innbydende 5-roms hjørneleilighet med flere uteplasser. Heis og garasjeplass.,EIE eiendomsmegling Hamar
"Haakon Tveters vei 76, 0686 Oslo",3 850 000 kr,59 000 kr,9 126 kr,3 918 126 kr,3 498 kr,Leilighet,Andel,2,64 m²,64 m²,4,1954,G - mørkegrønn,,3-roms toppleil. m/vestvendt balkong - Vinduer 2019 - Kjøkken 2014 - Fyring inkl. - Nærhet til T-bane og buss.,-1
"Nesgata 6, 3520 Jevnaker",2 690 000 kr,-1,-1,-1,-1,60 - 65 m²,2,Leilighet,Eier (Selveier),-1,-1,-1,-1,-1,"Selveierleiligheter fra kr 2 690 000,- (63 kvm og 68 kvm). INNFLYTNINGSKLAR OKTOBER 2021 - 4 SOLGT!",DNB Eiendom AS
"Pilestredet Park 34, 0176 Oslo",4 190 000 kr,106 092 kr,4 296 092 kr,2 825 kr,-1,Leilighet,Eier (Selveier),1,37 m²,37 m²,3,1938,C - mørkegrønn,,Flott 2-roms selveier med attraktiv beliggenhet i grønne omgivelser. Balkong. Heis. Garasje.,-1
"Damveien 18, 0587 Oslo",3 900 000 kr,160 973 kr,8 882 kr,4 069 855 kr,2 808 kr,Leilighet,Andel,1,42 m²,42 m²,2,1967,G - rød,,Sjarmerende og flott beliggende 2-roms / stor og solrik balkong. Pent kjøkken 2014. Stor frodig felles hage. Parkering*,-1
"Øvre Torvgate 17 - selveier, 2821 Gjøvik",3 290 000 kr,-1,-1,-1,-1,55 - 61 m²,1 - 2,Leilighet,Eier (Selveier),-1,-1,-1,-1,-1,NYTORVET BOLIGPARK - En fredelig idyll midt i sentrum. 19 nye og moderne selveierleiligheter skal bygges. Kun 2 ledige!,-1
"Birkelandsveien 1B, 1890 Rakkestad",1 375 000 kr,107 981 kr,8 032 kr,1 491 013 kr,4 000 kr,Leilighet,Andel,1,62 m²,65 m²,1,1975,F - rød,-1,Praktisk andelsleilighet med alt på ett plan - Solrik terrasse - Sentralt - Utvidet bad fra 2012,-1
"Gamlehaugvegen 46, 5230 Paradis",3 800 000 kr,103 820 kr,3 903 820 kr,2 260 kr,7 416 kr per år,Leilighet,Eier (Selveier),3,91 m²,91 m²,2,1950,-1,,"Stor, romslig og flott 4-roms over 2 plan v/ Nordåsvannet med mulighet for båtplass i attraktivt område - Fast parkering",Nordic Bolig Bergen
"Siebkes gate 4D, 0562 Oslo",2 990 000 kr,125 929 kr,15 759 kr,3 131 688 kr,2 541 kr,Leilighet,Andel,1,27 m²,27 m²,3,1894,G - rød,,"Lys, sjarmerende og arealeffektiv 1(2)-r i populære Gråbeinskvartalet | Bad og rør 2015 | Vinduer 2019 | Flott gårdsrom",Schala & Partners Carl Berner
"Ringgata 5 D, 0577 Oslo",4 370 000 kr,87 411 kr,19 520 kr,4 476 931 kr,3 530 kr,Leilighet,Aksje,1,57 m²,57 m²,2,1955,D - gul,,"Moderne, lys og stor 2-roms aksje med idyllisk beliggenhet. Balkong med herlig utsyn. Lave omkostninger. Må sees!",-1
"Gladengveien 3, D2-303, 0661 Oslo",7 250 000 kr,-1,-1,-1,-1,83 m²,89 m²,2,3,3.,1,Leilighet,-1,-1,"""LOCUS"" ENSJØ - Flott, romslig 3 roms på 89 m2 BRA - 2 balkonger - 2 bad",DNB Eiendom AS
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
"Lørenveien 63A, 0585 Oslo",4 200 000 kr,116 542 kr,4 316 542 kr,1 630 kr,-1,Leilighet,Eier (Selveier),1,39 m²,41 m²,7,2019,B - mørkegrønn,,Moderne & flott 2-roms med en herlig balkong på 9 m² - Nybygg fra 2019 - Walk-in garderobe - Lave bokostnader - Heis,-1
"Arne Fjellbus veg 4B, 7033 Trondheim",2 890 000 kr,312 948 kr,12 554 kr,3 215 502 kr,5 301 kr,Leilighet,Andel,2,65 m²,65 m²,1,1973,-1,,LYS OG FLOTT 3-ROMS. Fantastisk beliggenhet med nydelig utsikt og sol til sent på kveld.,-1
"Kirkeveien 53, 0368 Oslo",4 500 000 kr,214 000 kr,119 192 kr,4 833 192 kr,3 966 kr,Leilighet,Eier (Selveier),1,41 m²,41 m²,3,1937,E - mørkegrønn,,"Sentral, moderne & arealeffektiv 2R med separat kjøkken|Nordvestvendt balkong|Heis|Peis|Nyere bad & kjk.|Flytt rett inn!",-1
"Persaunvegen 3, 7045 Trondheim",3 990 000 kr,31 732 kr,108 590 kr,4 130 322 kr,1 700 kr,Leilighet,Eier (Selveier),3,76 m²,76 m²,2,1937,G - oransje,,Delikat 4-roms selveier med 2 p-plasser | Solfylt veranda | Peisovn og varmepumpe | Lave fellesutgifter | Sentralt,Heimdal Eiendomsmegling AS avd Heimdal
"Skogveien 2, 1738 Borgenhaugen",3 795 000 kr,110 269 kr,3 905 269 kr,22 959 kr per år,-1,Leilighet,Eier (Selveier),3,127 m²,127 m²,2,1963,G - rød,,Sjelden & unik selveierleilighet! 3 soverom | 2 bad | Flott balkong | God takhøyde | Garasje! Innflyttingsklar!,GRIMSØEN & PARTNERS AS
"Bergsligata 7, 7017 Trondheim",4 590 000 kr,123 320 kr,4 713 320 kr,2 404 kr,-1,Leilighet,Eier (Selveier),3,103 m²,103 m²,1,1912,F - oransje,,KLASSISK PEN 4(5)-R BYGÅRDSLEILIGHET I ILA - Gjennomgående pen standard - TG0 på bad&kjøkken - Sentral beliggenhet,Meglerhuset Nylander avd Søndre gt
"Hovseterveien 40B, 0768 Oslo",4 300 000 kr,200 000 kr,15 526 kr,4 515 526 kr,2 794 kr,Leilighet,Andel,1,54 m²,54 m²,1,1972,E - rød,-1,"Sjelden mulighet || Vestvendt og oppusset 2-roms med nydelig utsikt og solrik hage/terrasse, samt garasjeplass.",PrivatMegleren Park
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
"Solbergskogen 3B, 3085 Holmestrand",2 250 000 kr,458 096 kr,1 130 kr,2 709 226 kr,5 530 kr,Leilighet,Andel,3,83 m²,95 m²,3,1971,F - rød,,Lys og gjennomgående 4-roms leilighet i 3 etg. i Solbergsskogen Panorama - Fantastisk sjøutsikt - 2 balkonger,Eiendomsmegler 1 Holmestrand
"Malerhaugveien 32C, 0661 Oslo",7 600 000 kr,672 000 kr,1 132 kr,8 273 132 kr,4 689 kr,Leilighet,Andel,2,86 m²,90 m²,1,2019,C - mørkegrønn,,Lekker og lys 3-(4)r endeleil. Terrasse på hele 47 m² med nydelig utsikt Garasjeplass m/lader. Fjernvarme. IN-ordning,Nordvik Løren
"Strandgata 38, 3263 Larvik",3 550 000 kr,2 789 941 kr,1 132 kr,6 341 073 kr,7 806 kr,Leilighet,Andel,3,98 m²,101 m²,1,2014,C - rød,,"Larvik - Marius Brygge II - Flott, nyere sydvestvendt leilighet i strandkanten !",Krogsveen avd. Larvik
"Galeasgata 6, 6510 Kristiansund N",1 590 000 kr,419 049 kr,1 162 kr,2 010 211 kr,4 414 kr,Leilighet,Andel,2,66 m²,66 m²,1,1957,-1,,Flott 3-roms leilighet m/romslig veranda. Veldrevet brl. og renovert fasade!,-1
"Slettebakksveien 48, 5093 Bergen",2 750 000 kr,272 568 kr,960 kr,3 023 528 kr,4 574 kr,Leilighet,Andel,1,60 m²,60 m²,2,1950,F - oransje,,"Urban, sjarmerende 3-roms med sentral beliggenhet. Egen solrik balkong og vedovn. Enkelt overførbar til 2 soverom.",EiendomsMegler 1 Bergen
"Bråtasvingen 19, 3425 Reistad",3 990 000 kr,3 428 kr,5 715 kr per år,-1,-1,Leilighet,Eier (Selveier),3,88 m²,92 m²,3,2007,D - rød,,Pen 3(4)-roms endeleilighet med tilbaketrukket beliggenhet - Stor balkong med utsikt og gode solforhold - Garasje - Heis,Proaktiv Bolig og Prosjektmegling
"Brugata/Vangsvegen (trinn 2), 2321 Hamar",3 450 000 kr,-1,-1,-1,-1,59 - 139 m²,1 - 4,Leilighet,Eier (Selveier),-1,-1,-1,-1,-1,HAMAR/BRISKEBYEN | Suksessen fortsetter - 26 av 41 solgt! | Kastanjen trinn 2 | 1- til 6-roms leiligheter,EiendomsMegler 1 Innlandet - avd Nybygg
"Eplestien E2 (BB2-2), 4027 Stavanger",922 500 kr,-1,-1,-1,-1,64 - 97 m²,2 - 3,Leilighet,Andel,-1,-1,-1,-1,-1,EPLESTIEN E2 - Godkjent av Husbanken! Vi fortsetter med trinn 2 - over 70% er solgt! Flytt inn senest 01/09-22!,DNB Eiendom AS
"Sølysttunet, 4077 Hundvåg",12 900 000 kr,-1,-1,-1,-1,142 m²,149 m²,3,3,4.,1,Leilighet,-1,-1,Sølyst - Stor toppleilighet på ca. 149kvm med fantastisk utsikt - To terrasser på tilsammen ca. 65 kvm - Klar for overtakelse!,EiendomsMegler 1 Nybygg Forus
"Øvre Maihaugen 2D, 3741 Skien",1 280 000 kr,15 778 kr,1 132 kr,1 296 910 kr,4 017 kr,Leilighet,Andel,2,73 m²,83 m²,2,1973,E - rød,,"Moderne og tidsriktig 3-roms med herlig utsyn over nærområdet - lun balkong, sentralt og barnevennlig. Nyere kjøkken.",-1
"Hålogalandsgata 128, 8008 Bodø",2 150 000 kr,842 916 kr,1 132 kr,2 994 048 kr,8 962 kr,Leilighet,Andel,1,64 m²,69 m²,1,2005,E - rød,,Pen 2-roms med utleiehybel | Gode leieinntekter | Stor terrasse | Fast parkering | Sentralt,-1
"Dovregata 5A, 0170 Oslo",4 000 000 kr,70 574 kr,8 009 kr,4 078 583 kr,2 919 kr,Leilighet,Andel,1,44 m²,44 m²,3,1896,F - oransje,,Klassisk og gjennomgående 2-roms med 3 meter takhøyde | Sydvendt balkong | Vedovn | Lave fellesutgifter,Schala & Partners Grünerløkka
"SkolebakkenK - TRINN 1, 1410 Kolbotn",4 550 000 kr,-1,-1,-1,-1,59 - 113 m²,2 - 3,Leilighet,Eier (Selveier),-1,-1,-1,-1,-1,SKOLEBAKKEN K - 56 flotte selveierleiligheter midt i sentrum av Kolbotn. Salget er igang!,DNB Eiendom AS
"Bjerregaards gate 29E, 0172 Oslo",7 900 000 kr,13 782 kr,198 874 kr,8 112 656 kr,3 280 kr,Leilighet,Eier (Selveier),3,82 m²,82 m²,5,1932,F - mørkegrønn,,"Toppleilighet med fantastisk takterrasse i populære ""Bjerra""! 3 soverom - Nyere baderom - Svært pen bakgård",EiendomsMegler 1 Oslo Sentrum
"Midtvegen 131, 2320 Furnes",3 550 000 kr,97 770 kr,3 647 770 kr,2 495 kr,16 680 kr per år,Leilighet,Eier (Selveier),2,80 m²,80 m²,2,2018,D - mørkegrønn,-1,FURNES/HAMARGRENSA - Lekker leilighet med hyggelig beliggenhet. Moderne standard. Fine sol- og utsiktsforhold. Carport.,EIE eiendomsmegling Hamar
"Lutvannsveien 12, 0676 Oslo",4 085 000 kr,111 968 kr,113 919 kr,4 310 887 kr,5 129 kr,Leilighet,Eier (Selveier),3,84 m²,94 m²,4,1974,G - mørkegrønn,,Rålekker 4-roms med stor balkong og fantastisk utsikt | Garasje | Lekkert bad 2020 | Nye flater | Fyring/varmtvann inkl.,Schala & Partners Kalbakken
"Lønborglien 40, 5039 Bergen",2 540 000 kr,72 170 kr,2 612 170 kr,1 723 kr,6 795 kr per år,Leilighet,Eier (Selveier),1,45 m²,45 m²,5,2004,G - rød,-1,Ytre Sandviken - Flott 2-roms leilighet med sjøutsikt og solrik altan. Heis. Garasje. Nærhet til NHH.,-1
"Thereses gate 35B, 0354 Oslo",2 950 000 kr,16 720 kr,2 966 720 kr,2 616 kr,-1,Leilighet,Aksje,1,32 m²,32 m²,2,1923,F - mørkegrønn,,"Lys, luftig og moderne 2-R med ""alt"" inkl. i felleskost. 13 felles balkonger. Heis. Ingen fellesgjeld. Midt i smørøyet!",Notar Oslo
"Løren botaniske, hus 5, Hagehumla borettslag, salgstrinn 1, Peter Møllers vei 8-14, 0585 Oslo",1 260 000 kr,-1,-1,-1,-1,39 - 88 m²,1 - 3,Leilighet,Andel,C - mørkegrønn,-1,-1,-1,-1,"Løren botaniske hus 5, salgstrinn 1. Sydvendte leiligheter med balkong, felles takterrasse og utsikt til park",OBOS BBL
"Henrik Wergelands gate 71B, 4614 Kristiansand S",1 750 000 kr,45 092 kr,1 795 092 kr,1 723 kr,8 378 kr per år,Leilighet,Eier (Selveier),1,54 m²,54 m²,1,1958,G - oransje,,2 roms selveierleilighet | Høy første etasje | Balkong | Perfekt utleie/oppussingsobjekt,Krogsveen avd. Kristiansand
"Dag Hammarskjölds vei 171, 5144 Fyllingsdalen",2 300 000 kr,662 287 kr,1 632 kr,2 963 919 kr,4 720 kr,Leilighet,Andel,2,57 m²,72 m²,12,1972,F - rød,-1,Sjelden mulighet! Meget flott 3-roms toppleilighet (12. etg). Nyt herlig utsikt og masse sol! Oasen som nærmeste nabo,Krogsveen avd. Bergen Vest
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
"Mathiasbakken 4A, 3132 Husøysund",3 450 000 kr,87 592 kr,3 537 592 kr,2 985 kr,-1,Leilighet,Eier (Selveier),2,62 m²,64 m²,1,2005,E - rød,,"Lys og hyggelig endeleilighet i 1. etg. med alt på en flate, 2 soverom, flott utsikt og garasjeplass.",-1
"Sole allé 55, 1540 Vestby",3 250 000 kr,82 670 kr,3 332 670 kr,1 569 kr,2 512 kr per år,Leilighet,Eier (Selveier),1,52 m²,62 m²,4,2013,B - rød,,"Privatbud akseptert! Visning avlyst. Lys, luftig og lekker 2-roms leilighet i 4. etg. *Heis *Garasjeplass *Innglasset",EiendomsMegler 1 Vestby/Son
"Rolf Hofmos gate 32, 0655 Oslo",6 500 000 kr,164 592 kr,6 664 592 kr,3 169 kr,-1,Leilighet,Eier (Selveier),2,65 m²,65 m²,8,2019,C - mørkegrønn,,Strøken toppleilighet i 8.etg fra 2019|Sørvendt balkong med sjøutsikt|Garasjeplass med elbillader|VV/fyring inkl.,-1
"Sognaveien 10B toppleilighet (6. etg), 3404 Lier",5 500 000 kr,3 308 kr,4 900 kr per år,-1,-1,Leilighet,Eier (Selveier),3,129 m²,133 m²,2018,B - rød,-1,,LIER - Ny lekker 4-roms toppleilighet i moderne terrassehus - fantastisk utsikt mot Drammensfjorden og Lierdalen,Dialog Eiendomsmegling AS avd Drammen
"Ingerthas vei 2, 4630 Kristiansand S",3 150 000 kr,95 292 kr,3 245 292 kr,1 700 kr,10 517 kr per år,Leilighet,Eier (Selveier),94 m²,94 m²,1,1951,G - oransje,-1,-1,Gimlevang - Tiltalende og moderne selveierleilighet over 2 plan i attraktivt og populært område på Lund.,Privatmegleren Sædberg & Lian
"Kråvasslia 10A, 5134 Flaktveit",1 990 000 kr,609 500 kr,8 476 kr,2 607 976 kr,7 138 kr,Leilighet,Andel,2,74 m²,74 m²,1,1990,E - rød,,Nydelig og oppgradert 3-roms rekkehusleilighet med stor uteplass og hage. Trappefri adkomst & p-plass.,-1
"Ramstad terrasse 3, 1405 Langhus",6 700 000 kr,176 520 kr,6 876 520 kr,3 171 kr,10 811 kr per år,Leilighet,Eier (Selveier),3,128 m²,128 m²,3,2002,D - rød,-1,Stor endeleilghet med vestvendt terrasse på ca 27 m² | To Garasjeplasser (en med el lader) | Flott utsikt | Heis.,EIE eiendomsmegling Ski
"Kongsvegen 24, 2636 Øyer",3 190 000 kr,-1,-1,-1,-1,65 m²,2,Leilighet,Eier (Selveier),-1,-1,-1,-1,-1,"SISTE BYGGETRINN PÅ GRANRUDTUNET! Lettstelte leiligheter på ett plan, med vannbåren varme, meget sentralt i Øyer.",BoligPartner - Lillehammer
"Blomstervegen 17, 2005 Rælingen",2 790 000 kr,3 823 kr,15 526 kr,2 809 349 kr,2 901 kr,Leilighet,Andel,1,55 m²,55 m²,3,1972,F - rød,,"Lys og fin 2,5-roms med solrik balkong - Kjøkken fra 2019 - Gode p-muligheter - Lav fellesgjeld!",Nordvik Lørenskog
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
"Melkevikleitet, 5565 Tysværvåg",2 890 000 kr,-1,-1,-1,-1,83 m²,2,Leilighet,Eier (Selveier),-1,-1,-1,-1,-1,"SLÅTTEVIK - Moderne leiligheter for salg! ÅPEN kontrakt, null risiko!",DNB Eiendom AS
"Brekkeveien 17-19 Hus D, 1430 Ås",1 320 000 kr,-1,-1,-1,-1,42 - 109 m²,1 - 3,Leilighet,Andel,-1,-1,-1,-1,-1,Brekketunet Hus D - Nye leiligheter sentralt i Ås - nytt salgstrinn!,OBOS BBL
"Ladebekken 12, Øvre Nyhavna 3 - C3 Moloen, 7040 Trondheim",6 095 000 kr,-1,-1,-1,-1,78 - 82 m²,2 - 3,Leilighet,Eier (Selveier),-1,-1,-1,-1,-1,Øvre Nyhavna 3 - 85 solgt første 2 salgsuker! Leiligheter rett ved fjorden og sentrum | 35 - 138 kvm.,"Heimdal Eiendomsmegling AS, Hovedkontor Trondheim"
"Frydenbergveien 56, 0575 Oslo",3 700 000 kr,93 874 kr,3 793 874 kr,2 541 kr,-1,Leilighet,Eier (Selveier),1,37 m²,37 m²,1,2010,D - mørkegrønn,,Hyggelig 2-roms hjørneleilighet med terrasse og hage - Nytt fra 2010 - A-konto varmtvann/fjernvarme inkl.,EiendomsMegler 1 Torshov
"Aage Håkonsens vei 4B, 3610 Kongsberg",1 700 000 kr,396 818 kr,15 526 kr,2 112 344 kr,5 995 kr,Leilighet,Andel,2,66 m²,69 m²,1,2004,C - oransje,-1,Flott 3-roms med hage og gode solforhold - Garasje i felles garasjerekke,Aktiv Kongsberg
"Raunåkerstubben 3, 4342 Undheim",2 390 000 kr,60 920 kr,2 450 920 kr,1 795 kr,6 510 kr per år,Leilighet,Eier (Selveier),3,68 m²,68 m²,2,2016,B - rød,-1,Innholdsrik og pen leilighet over 2 plan. 3 soverom + kontor!,EiendomsMegler 1 Jærmegleren
"Reidar Teigens vei 12, 3262 Larvik",726 000 kr,-1,-1,-1,-1,36 - 100 m²,1 - 3,Leilighet,Eier (Selveier),-1,-1,-1,-1,-1,"Fram10 * 15 solgte * Flotte, prosjekterte leiligheter i borettslag på Fram. www.fram10.no",EiendomsMegler 1 Larvik
"Håvundvegen 19, 3715 Skien",932 790 kr,175 796 kr,1 235 kr,1 109 821 kr,5 691 kr,Leilighet,Andel,1,55 m²,55 m²,1,1997,D - rød,,Lys og lettvint 2-roms seniorbolig - Solrik veranda med flott utsikt mot Gjerpensdalen,EiendomsMegler 1 Skien
"Stadion 17, 1671 Kråkerøy",3 400 000 kr,1 594 kr,7 219 kr per år,-1,-1,Leilighet,Eier (Selveier),1,41 m²,4,2020,Eiet,-1,-1,Ny og lekker studioleilighet med rå utsikt langs elva - Dreieværste,Møller & Partners
"Straumsfjellvegen 9A, 5353 Straume",3 350 000 kr,92 320 kr,3 442 320 kr,1 904 kr,10 125 kr per år,Leilighet,Eier (Selveier),1,64 m²,67 m²,3,2018,A - oransje,,Nyere stor 2-roms selveier med fantastiske sol- og utsiktsforhold. Garasjeplass m/ el-billader. Trappefritt med heis.,-1
"Bergkrystallen 2, 1155 Oslo",3 650 000 kr,316 000 kr,8 626 kr,3 974 626 kr,3 233 kr,Leilighet,Andel,2,66 m²,67 m²,1,1957,F - rød,,Attraktivt beliggende 3-roms endeleilighet i høy 1. etg. Solrik balkong. Stort bad.,Krogsveen avd. Nordstrand
"Sanddalsvegen 9B, 5221 Nesttun",4 490 000 kr,121 270 kr,4 611 270 kr,4 222 kr,9 368 kr per år,Leilighet,Eier (Selveier),1,82 m²,85 m²,3,2013,C - rød,,"Nesttun | Strøken leilighet i bygg fra 2013. Fast garasjeplass, 2 bad, peis, balkong på 10 kvm og Selvaag pluss konsept!",EIE eiendomsmegling Bergen
"Åssiden 5B, 1860 Trøgstad",1 180 000 kr,187 927 kr,5 262 kr,1 373 189 kr,3 939 kr,Leilighet,Andel,1,50 m²,50 m²,1,1978,E - rød,-1,VISNING! Skjønhaug - andelsleilighet i 1.etasje med garasje - vestvendt balkong på 15 kvm,-1
"Melandgården hus 1, 8430 Myre",3 990 000 kr,-1,-1,-1,-1,76 m²,2,4,Leilighet,Eier (Selveier),C - rød,-1,-1,-1,12 SOLGT! Melandgården på Myre- Moderne og innbydende leiligheter - Høy standard - Vannbåren varme - Garasje inkl - Heis,-1
"Dampsaga allé 64, 2053 Jessheim",4 300 000 kr,108 874 kr,4 408 874 kr,2 995 kr,4 988 kr per år,Leilighet,Eier (Selveier),2,73 m²,76 m²,4,2020,A - mørkegrønn,,"Innbydende og moderne 3-roms selveier fra 2020 - Vestvendt, stor balkong - Garasjeplass - Heisadkomst - Nærhet til ""alt""",Eiendomsmegler 1 Jessheim
"Vilhelm Bjerknes' vei 84, 5081 Bergen",3 100 000 kr,34 574 kr,13 353 kr,3 147 927 kr,3 367 kr,Leilighet,Andel,2,67 m²,68 m²,1,1964,-1,,Strøken 3-roms |Mulighet for 3 soverom | Altan på 11m2 | Kort vei til Bybane | Oppussing gjort av fagfolk | Bør ses,-1
"Bronsekarveien 36, 4320 Sandnes",2 990 000 kr,-1,-1,-1,-1,57 - 122 m²,2 - 3,Leilighet,Eier (Selveier),A - gul,-1,-1,-1,-1,"Sørbø - Moderne leiligheter med arealeffektive løsninger, parkering i lukket anlegg og etterspurt beliggenhet. Øster Hus.",ØSTER HUS AS
"Professor Dahls gate 52, 0260 Oslo",2 450 000 kr,21 833 kr,69 540 kr,2 541 373 kr,1 214 kr,Leilighet,Eier (Selveier),16 m²,16 m²,1,1935,G - mørkegrønn,-1,,Arealeffektiv 1-roms eierseksjon | Nytt baderom i 2017 | Attraktiv beliggenhet | Lave felleskostnader,EIE eiendomsmegling Majorstuen
"Strandvegen 1B, 2005 Rælingen",7 400 000 kr,3 798 kr,186 412 kr,7 590 210 kr,3 298 kr,Leilighet,Eier (Selveier),3,89 m²,93 m²,4,2019,D - mørkegrønn,,"Moderne, påkostet hjørneleilighet med god takhøyde i 4. etasje. To terrasser - Flott utsikt - Gangavstand til Lillestrøm",-1
"Storgata 55, 3182 Horten",1 600 000 kr,191 556 kr,1 210 kr,1 792 766 kr,4 666 kr,Leilighet,Andel,1,50 m²,53 m²,3,1995,D - rød,,"Pen 2-roms andelsleilighet i 3. etg med heis og balkong, i hyggelig borettslag for seniorer.",EiendomsMegler 1 Horten
"Møllendalsbakken 1, 5009 Bergen",3 590 000 kr,98 320 kr,3 688 320 kr,11 825 kr per år,-1,Leilighet,Eier (Selveier),1,47 m²,50 m²,2,2008,-1,,Toroms selveierleilighet med balkong - Garasjeplass med elbillader - 2 felles takterrasser - Like ved Bybanen fra 2022,-1
"Eliasmarken 2B, 5164 Laksevåg",2 190 000 kr,2 054 802 kr,5 660 kr,4 250 462 kr,10 150 kr,Leilighet,Andel,2,85 m²,89 m²,4,2008,C - rød,,Nygård - 5 min. fra sentrum. Lekker 3-roms med stor usjenert balkong. Fast p-plass i garasje. Heis i bygget. IN ordning.,-1
"Elias Kræmmers vei 9C, 3024 Drammen",2 350 000 kr,222 435 kr,11 263 kr,2 583 698 kr,4 565 kr,Leilighet,Andel,2,66 m²,66 m²,2,1960,-1,-1,Gjennomgående og lys ende leilighet i 2.etg. Sydvendt beliggenhet. Garasje.,Nbbo Eiendomsmegling
"Bentsebrugata 13G, 0476 Oslo",4 100 000 kr,105 042 kr,4 205 042 kr,1 397 kr,-1,Leilighet,Eier (Selveier),1,52 m²,56 m²,1,1959,-1,,Lekker 2-roms leilighet fra 2021 med attraktiv beliggenhet. Heis og solrik parsell på takterrasse. Rett ved Akerselva!,-1
"Kongsvegen 4, 2380 Brumunddal",3 690 000 kr,-1,-1,-1,-1,67 - 118 m²,2 - 3,Leilighet,Eier (Selveier),-1,-1,-1,-1,-1,"8 ekslusive, prosjekterte selveierleiligheter beliggende helt inntil bykjernen i sin egen grønne lunge. Gode solforhold, utsikt, heis, carportanlegg.",Nordvik Innlandet
"Vestre Aspehaug 6, 6010 Ålesund",2 300 000 kr,130 655 kr,1 132 kr,2 431 787 kr,3 760 kr,Leilighet,Andel,2,77 m²,78 m²,3,1981,F - rød,,Andelsleilighet med balkong|Garasje|Solrikt og flott utsikt|Kort veg til Moa,Krogsveen avd. Ålesund
"Breigata 18, 0187 Oslo",2 940 000 kr,1 423 164 kr,5 660 kr,4 368 824 kr,10 793 kr,Leilighet,Andel,2,53 m²,53 m²,3,2009,C - mørkegrønn,,Pen og moderne 3-roms med balkong - Fjernvarme inkl. - IN-ordning - Vendt mot bakgård - Heis - Sentral beliggenhet,-1
"Oberst Rodes vei 31B, 1163 Oslo",5 100 000 kr,178 000 kr,133 292 kr,5 411 292 kr,3 979 kr,Leilighet,Eier (Selveier),2,72 m²,72 m²,1,1939,G - oransje,,Pen leilighet i 4-mannsbolig med romslig sydvendt veranda og nyere kjøkken.,Krogsveen avd. Nordstrand
"Liljeveien 14A, 3228 Sandefjord",3 000 000 kr,96 883 kr,7 860 kr,3 104 743 kr,4 036 kr,Leilighet,Andel,3,121 m²,121 m²,1974,E - oransje,-1,,"Flott enderekkehus over 2 plan med stor, usjenert og solrik markterrasse og pent opparbeidet hage. Garasje i rekke!",-1
